branch_ch,n_bcp,tt,ch_in_tt,module,type,iphi,ieta
0,0,0,1,1,ecal,1,16
1,0,0,2,1,ecal,2,16
2,0,0,3,1,ecal,3,16
3,0,0,4,1,ecal,4,16
4,0,0,5,1,ecal,5,16
5,0,0,6,1,ecal,5,17
6,0,0,7,1,ecal,4,17
7,0,0,8,1,ecal,3,17
8,0,0,9,1,ecal,2,17
9,0,0,10,1,ecal,1,17
10,0,0,11,1,ecal,1,18
11,0,0,12,1,ecal,2,18
12,0,0,13,1,ecal,3,18
13,0,0,14,1,ecal,4,18
14,0,0,15,1,ecal,5,18
15,0,0,16,1,ecal,5,19
16,0,0,17,1,ecal,4,19
17,0,0,18,1,ecal,3,19
18,0,0,19,1,ecal,2,19
19,0,0,20,1,ecal,1,19
20,0,0,21,1,ecal,1,20
21,0,0,22,1,ecal,2,20
22,0,0,23,1,ecal,3,20
23,0,0,24,1,ecal,4,20
24,0,0,25,1,ecal,5,20
25,0,1,1,1,ecal,5,15
26,0,1,2,1,ecal,4,15
27,0,1,3,1,ecal,3,15
28,0,1,4,1,ecal,2,15
29,0,1,5,1,ecal,1,15
30,0,1,6,1,ecal,1,14
31,0,1,7,1,ecal,2,14
32,0,1,8,1,ecal,3,14
33,0,1,9,1,ecal,4,14
34,0,1,10,1,ecal,5,14
35,0,1,11,1,ecal,5,13
36,0,1,12,1,ecal,4,13
37,0,1,13,1,ecal,3,13
38,0,1,14,1,ecal,2,13
39,0,1,15,1,ecal,1,13
40,0,1,16,1,ecal,1,12
41,0,1,17,1,ecal,2,12
42,0,1,18,1,ecal,3,12
43,0,1,19,1,ecal,4,12
44,0,1,20,1,ecal,5,12
45,0,1,21,1,ecal,5,11
46,0,1,22,1,ecal,4,11
47,0,1,23,1,ecal,3,11
48,0,1,24,1,ecal,2,11
49,0,1,25,1,ecal,1,11
50,0,2,1,2,ecal,5,30
51,0,2,2,2,ecal,4,30
52,0,2,3,2,ecal,3,30
53,0,2,4,2,ecal,2,30
54,0,2,5,2,ecal,1,30
55,0,2,6,2,ecal,1,29
56,0,2,7,2,ecal,2,29
57,0,2,8,2,ecal,3,29
58,0,2,9,2,ecal,4,29
59,0,2,10,2,ecal,5,29
60,0,2,11,2,ecal,5,28
61,0,2,12,2,ecal,4,28
62,0,2,13,2,ecal,3,28
63,0,2,14,2,ecal,2,28
64,0,2,15,2,ecal,1,28
65,0,2,16,2,ecal,1,27
66,0,2,17,2,ecal,2,27
67,0,2,18,2,ecal,3,27
68,0,2,19,2,ecal,4,27
69,0,2,20,2,ecal,5,27
70,0,2,21,2,ecal,5,26
71,0,2,22,2,ecal,4,26
72,0,2,23,2,ecal,3,26
73,0,2,24,2,ecal,2,26
74,0,2,25,2,ecal,1,26
75,0,3,1,1,ecal,6,21
76,0,3,2,1,ecal,7,21
77,0,3,3,1,ecal,8,21
78,0,3,4,1,ecal,9,21
79,0,3,5,1,ecal,10,21
80,0,3,6,1,ecal,10,22
81,0,3,7,1,ecal,9,22
82,0,3,8,1,ecal,8,22
83,0,3,9,1,ecal,7,22
84,0,3,10,1,ecal,6,22
85,0,3,11,1,ecal,6,23
86,0,3,12,1,ecal,7,23
87,0,3,13,1,ecal,8,23
88,0,3,14,1,ecal,9,23
89,0,3,15,1,ecal,10,23
90,0,3,16,1,ecal,10,24
91,0,3,17,1,ecal,9,24
92,0,3,18,1,ecal,8,24
93,0,3,19,1,ecal,7,24
94,0,3,20,1,ecal,6,24
95,0,3,21,1,ecal,6,25
96,0,3,22,1,ecal,7,25
97,0,3,23,1,ecal,8,25
98,0,3,24,1,ecal,9,25
99,0,3,25,1,ecal,10,25
100,0,4,1,1,ecal,6,16
101,0,4,2,1,ecal,7,16
102,0,4,3,1,ecal,8,16
103,0,4,4,1,ecal,9,16
104,0,4,5,1,ecal,10,16
105,0,4,6,1,ecal,10,17
106,0,4,7,1,ecal,9,17
107,0,4,8,1,ecal,8,17
108,0,4,9,1,ecal,7,17
109,0,4,10,1,ecal,6,17
110,0,4,11,1,ecal,6,18
111,0,4,12,1,ecal,7,18
112,0,4,13,1,ecal,8,18
113,0,4,14,1,ecal,9,18
114,0,4,15,1,ecal,10,18
115,0,4,16,1,ecal,10,19
116,0,4,17,1,ecal,9,19
117,0,4,18,1,ecal,8,19
118,0,4,19,1,ecal,7,19
119,0,4,20,1,ecal,6,19
120,0,4,21,1,ecal,6,20
121,0,4,22,1,ecal,7,20
122,0,4,23,1,ecal,8,20
123,0,4,24,1,ecal,9,20
124,0,4,25,1,ecal,10,20
125,0,5,1,1,ecal,1,21
126,0,5,2,1,ecal,2,21
127,0,5,3,1,ecal,3,21
128,0,5,4,1,ecal,4,21
129,0,5,5,1,ecal,5,21
130,0,5,6,1,ecal,5,22
131,0,5,7,1,ecal,4,22
132,0,5,8,1,ecal,3,22
133,0,5,9,1,ecal,2,22
134,0,5,10,1,ecal,1,22
135,0,5,11,1,ecal,1,23
136,0,5,12,1,ecal,2,23
137,0,5,13,1,ecal,3,23
138,0,5,14,1,ecal,4,23
139,0,5,15,1,ecal,5,23
140,0,5,16,1,ecal,5,24
141,0,5,17,1,ecal,4,24
142,0,5,18,1,ecal,3,24
143,0,5,19,1,ecal,2,24
144,0,5,20,1,ecal,1,24
145,0,5,21,1,ecal,1,25
146,0,5,22,1,ecal,2,25
147,0,5,23,1,ecal,3,25
148,0,5,24,1,ecal,4,25
149,0,5,25,1,ecal,5,25
150,0,6,1,1,ecal,5,10
151,0,6,2,1,ecal,4,10
152,0,6,3,1,ecal,3,10
153,0,6,4,1,ecal,2,10
154,0,6,5,1,ecal,1,10
155,0,6,6,1,ecal,1,9
156,0,6,7,1,ecal,2,9
157,0,6,8,1,ecal,3,9
158,0,6,9,1,ecal,4,9
159,0,6,10,1,ecal,5,9
160,0,6,11,1,ecal,5,8
161,0,6,12,1,ecal,4,8
162,0,6,13,1,ecal,3,8
163,0,6,14,1,ecal,2,8
164,0,6,15,1,ecal,1,8
165,0,6,16,1,ecal,1,7
166,0,6,17,1,ecal,2,7
167,0,6,18,1,ecal,3,7
168,0,6,19,1,ecal,4,7
169,0,6,20,1,ecal,5,7
170,0,6,21,1,ecal,5,6
171,0,6,22,1,ecal,4,6
172,0,6,23,1,ecal,3,6
173,0,6,24,1,ecal,2,6
174,0,6,25,1,ecal,1,6
175,0,7,1,1,ecal,10,10
176,0,7,2,1,ecal,9,10
177,0,7,3,1,ecal,8,10
178,0,7,4,1,ecal,7,10
179,0,7,5,1,ecal,6,10
180,0,7,6,1,ecal,6,9
181,0,7,7,1,ecal,7,9
182,0,7,8,1,ecal,8,9
183,0,7,9,1,ecal,9,9
184,0,7,10,1,ecal,10,9
185,0,7,11,1,ecal,10,8
186,0,7,12,1,ecal,9,8
187,0,7,13,1,ecal,8,8
188,0,7,14,1,ecal,7,8
189,0,7,15,1,ecal,6,8
190,0,7,16,1,ecal,6,7
191,0,7,17,1,ecal,7,7
192,0,7,18,1,ecal,8,7
193,0,7,19,1,ecal,9,7
194,0,7,20,1,ecal,10,7
195,0,7,21,1,ecal,10,6
196,0,7,22,1,ecal,9,6
197,0,7,23,1,ecal,8,6
198,0,7,24,1,ecal,7,6
199,0,7,25,1,ecal,6,6
200,0,8,1,1,ecal,10,15
201,0,8,2,1,ecal,9,15
202,0,8,3,1,ecal,8,15
203,0,8,4,1,ecal,7,15
204,0,8,5,1,ecal,6,15
205,0,8,6,1,ecal,6,14
206,0,8,7,1,ecal,7,14
207,0,8,8,1,ecal,8,14
208,0,8,9,1,ecal,9,14
209,0,8,10,1,ecal,10,14
210,0,8,11,1,ecal,10,13
211,0,8,12,1,ecal,9,13
212,0,8,13,1,ecal,8,13
213,0,8,14,1,ecal,7,13
214,0,8,15,1,ecal,6,13
215,0,8,16,1,ecal,6,12
216,0,8,17,1,ecal,7,12
217,0,8,18,1,ecal,8,12
218,0,8,19,1,ecal,9,12
219,0,8,20,1,ecal,10,12
220,0,8,21,1,ecal,10,11
221,0,8,22,1,ecal,9,11
222,0,8,23,1,ecal,8,11
223,0,8,24,1,ecal,7,11
224,0,8,25,1,ecal,6,11
225,1,0,1,3,ecal,10,55
226,1,0,2,3,ecal,9,55
227,1,0,3,3,ecal,8,55
228,1,0,4,3,ecal,7,55
229,1,0,5,3,ecal,6,55
230,1,0,6,3,ecal,6,54
231,1,0,7,3,ecal,7,54
232,1,0,8,3,ecal,8,54
233,1,0,9,3,ecal,9,54
234,1,0,10,3,ecal,10,54
235,1,0,11,3,ecal,10,53
236,1,0,12,3,ecal,9,53
237,1,0,13,3,ecal,8,53
238,1,0,14,3,ecal,7,53
239,1,0,15,3,ecal,6,53
240,1,0,16,3,ecal,6,52
241,1,0,17,3,ecal,7,52
242,1,0,18,3,ecal,8,52
243,1,0,19,3,ecal,9,52
244,1,0,20,3,ecal,10,52
245,1,0,21,3,ecal,10,51
